City ,Temperature,Latitude,Longitude
Alabama,62.8,32.806671,-86.79113
Alaska,26.6,61.370716,-152.404419
Arizona,60.3,33.729759,-111.431221
Arkansas,60.4,34.969704,-92.373123
California,59.4,36.116203,-119.681564
Colorado,45.1,39.059811,-105.311104
Connecticut,49,41.597782,-72.755371
Delaware,55.3,39.318523,-75.507141
District of Columbia,55.7,38.897438,-77.026817
Florida,70.7,27.766279,-81.686783
Georgia,63.5,33.040619,-83.643074
Hawaii,70,21.094318,-157.498337
Idaho,44.4,44.240459,-114.478828
Illinois,51.8,40.349457,-88.986137
Indiana,51.7,39.849426,-86.258278
Iowa,47.8,42.011539,-93.210526
Kansas,54.3,38.5266,-96.726486
Kentucky,55.6,37.66814,-84.670067
Louisiana,66.4,31.169546,-91.867805
Maine,41,44.693947,-69.381927
Maryland,54.2,39.063946,-76.802101
Massachusetts,47.9,42.230171,-71.530106
Michigan,44.4,43.326618,-84.536095
Minnesota,41.2,45.694454,-93.900192
Mississippi,63.4,32.741646,-89.678696
Missouri,54.5,38.456085,-92.288368
Montana,42.7,46.921925,-110.454353
Nebraska,48.8,41.12537,-98.268082
Nevada,49.9,38.313515,-117.055374
New Hampshire,43.8,43.452492,-71.563896
New Jersey,52.7,40.298904,-74.521011
New Mexico,53.4,34.840515,-106.248482
New York,45.4,42.165726,-74.948051
North Carolina,59,35.630066,-79.806419
North Dakota,40.4,47.528912,-99.784012
Ohio,50.7,40.388783,-82.764915
Oklahoma,59.6,35.565342,-96.928917
Oregon,48.4,44.572021,-122.070938
Pennsylvania,48.8,40.590752,-77.209755
Rhode Island,50.1,41.680893,-71.51178
South Carolina,62.4,33.856892,-80.945007
South Dakota,45.2,44.299782,-99.438828
Tennessee,57.6,35.747845,-86.692345
Texas,64.8,31.054487,-97.563461
Utah,48.6,40.150032,-111.862434
Vermont,42.9,44.045876,-72.710686
Virginia,55.1,37.769337,-78.169968
Washington,48.3,47.400902,-121.490494
West Virginia,51.8,38.491226,-80.954453
Wisconsin,43.1,44.268543,-89.616508
Wyoming ,42,42.755966,-107.30249